"Item Id","Item Name","Price","Sales","Shop Name","Commission Rate","Commission","Product Link","Offer Link",
21899192645,"Kit 10 Potes Vidro Hermético 1040ml Retangular 4 Travas Marmita Premium","R$73,97","4,6mil","UnyMix Home","10,00%","R$7,40","https://shopee.com.br/product/811924245/21899192645","https://s.shopee.com.br/8pVJc4X9l1",
11720146857,"Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil","R$19,99","115,3mil","DAFUSHOP_brasil","9,00%","R$1,80","https://shopee.com.br/product/328666563/11720146857","https://s.shopee.com.br/1qLZHCxnxg",
22620053025,"Kit 3 Sapatênis Masculino Casual Tênis Polo Fran + Relógio Carteira Cinto- London","R$99,90","11,3mil","Falcucci_","8,00%","R$7,99","https://shopee.com.br/product/341594413/22620053025","https://s.shopee.com.br/1g294tyRIf",
23493533429,"Arma Gel Bolinha De Gel Metralhadora AK47/M416 Elétrica Automática","R$97,50","5,9mil","Mega TechStore","7,00%","R$6,83","https://shopee.com.br/product/872424585/23493533429","https://s.shopee.com.br/1Viisaz4de",
19238157811,"Seladora à Vácuo para Armazenar Alimentos Domésticos","R$39,99","13,6mil","DAFUSHOP_brasil","9,00%","R$3,60","https://shopee.com.br/product/328666563/19238157811","https://s.shopee.com.br/1LPIgHzhyd",
22091379150,"Kit 3 Camisa, Camiseta Plus Size Jesus Cruz Logo Religiosa Evangélica 100% Algodão","R$150,00",445,"VIRTUOSA FASHION","13,00%","R$19,50","https://shopee.com.br/product/322886378/22091379150","https://s.shopee.com.br/2VbG4QvGbs",
22497329918,"Aspirador De Pó Usb Portátil Completo Linha Premium Carro E Casa 2000mAh","R$27,98","15,9mil","Summer Comercio","13,00%","R$3,64","https://shopee.com.br/product/719816460/22497329918","https://s.shopee.com.br/2LHps7vtwr",
18799259829,"Projetor Portátil Android 11 Smart  Wifi 6 Bluetooth 5.0 1080p","R$269,99","12,2mil","Tech Store 1","8,00%","R$21,60","https://shopee.com.br/product/539790794/18799259829","https://s.shopee.com.br/2AyPfowXHq",
19698593622,"Lavadora Lava Copos Automático de Pia Taças e Coqueteleira Cozinha Bar","R$21,99","3,2mil","DAFUSHOP_brasil","9,00%","R$1,98","https://shopee.com.br/product/328666563/19698593622","https://s.shopee.com.br/20ezTVxAcp",
22492481896,"Kit 4 Camisetas Masculinas Básicas Conforto Lisas Poliéster Premium","R$59,99","19,7mil","TH6 Bolsas e Confecções","13,00%","R$7,80","https://shopee.com.br/product/378609033/22492481896","https://s.shopee.com.br/VqBgl2sfY",
23592865360,"Escova Para Limpeza Automotiva Caixa de Roda Escova Lavar Pneu Microfibra Para Rodas Pneus Vonder","R$32,94",801,"Fonte.do Brilho","8,00%","R$2,64","https://shopee.com.br/product/322584913/23592865360","https://s.shopee.com.br/LWlUS3W0X",
22791523448,"Mini Aspirador De pó Portátil Automotivo e Casa Potente Recarregável","R$23,99","137,3mil","ANJ.GG store","7,00%","R$1,68","https://shopee.com.br/product/391739739/22791523448","https://s.shopee.com.br/BDLI949LW",
