Item Id;Item Name;Price;Sales;Shop Name;Commission Rate;Commission;Product Link;Offer Link
23496271683;20 Pcs Pontas De Lápis De Grafite Nunca Acabaram Infinitos Apagáveis Inkless Material Escolar Infinito Estudantes Cabeça De Substituição De Metal Portátil zhenghaoyy.br;R$15,87;78;zhenghaoyy.br;3%;R$0,48;https://shopee.com.br/product/987786132/23496271683;https://shope.ee/2VStjdcgLv
5476726472;Kit escolar Material Completo Bic Evolution 20 peças;R$28,86;33;Tudo Da 25;3%;R$0,87;https://shopee.com.br/product/315503549/5476726472;https://shope.ee/lYl2mCQS
21596997842;Kit com 48 canetas ponta dupla pincel estilo brushpen e ponta fina/lembrancinhas de aniversário/material escolar/fine line/caneta;R$25,99;85;zero0621.br;3%;R$0,78;https://shopee.com.br/product/799897232/21596997842;https://shope.ee/B4yxLlZ5V
23791681301;Borracha Mini Donuts 4 Unidades - Importado | Marmitinha / Material Escolar / Papelaria;R$22,75;76;Schuster Papelaria;3%;R$0,68;https://shopee.com.br/product/390780728/23791681301;https://shope.ee/LOP9ekvkY
22718971797;Lapis De Cor Escolar Multicolor De 12- 24 -36 Cores Material Escolar Pintura Cores Viva;R$12,50;34;THELSHOP;3%;R$0,38;https://shopee.com.br/product/871360332/22718971797;https://shope.ee/VhpLxkIPb
17370860061;Marca Texto Grifpen Faber Castell - Papelaria  / Material Escolar;R$8,00;61;Papelaria Lords Gamer;3%;R$0,24;https://shopee.com.br/product/717443900/17370860061;https://shope.ee/g1FYGjf4e
23391277071;300Pcs Transparente Sticky Note Pad Notes Clear Long Page Markers Index Tab Para Material Escolar De Escritório;R$4,30;40;Yilan.br;3%;R$0,13;https://shopee.com.br/product/821740933/23391277071;https://shope.ee/qKfkZj1jh
21998656133;160 Folhas Notas adesivas flags fininho marcador de página De Bloco Adesivo Material Escolar Notas Adesivas Fluorescentes N Vezes PET Coloridos À Prova D'água De Faixa Longa Indicadora;R$5,09;182;MINi·shop;3%;R$0,15;https://shopee.com.br/product/953876316/21998656133;https://shope.ee/10e5wsiOOk
21798428548;Lápis Ecolápis de Cor Multicolor Original 24 Cores Material Escolar Pintura Volta às Aulas Promoção;R$19,50;162;Toy Street;3%;R$0,59;https://shopee.com.br/product/639580558/21798428548;https://shope.ee/1AxW9Bhl3n
18604883123;Lapiseira Faber Castell Poly Click 0.7mm / Kit ou Avulso / Papelaria  / Material Escolar / Grafite;R$9,00;25;Papelaria Lords Gamer;3%;R$0,27;https://shopee.com.br/product/717443900/18604883123;https://shope.ee/9KJDsCCfUO
16443045218;Caneta Esferográfica Bic Cristal Fashion 4 Cores Vivas Ponta Média Escrita Macia  / Papelaria  / Material Escolar;R$14,00;29;Papelaria Lords Gamer;3%;R$0,42;https://shopee.com.br/product/717443900/16443045218;https://shope.ee/9Uce4VC29R
4683324392;Cola Glitter Colorida 6 Cores - Acrilex | Papelaria | Material Escolar | Artesanato;R$16,15;71;Schuster Papelaria;3%;R$0,48;https://shopee.com.br/product/390780728/4683324392;https://shope.ee/9ew4GoBOoU
20312911961;Lapiseira Poly 0.7 Faber-Castell Papelaria Material Escolar;R$13,99;81;Monsores Papelaria;3%;R$0,42;https://shopee.com.br/product/447022377/20312911961;https://shope.ee/9pFUT7AlTX
17479970172;Big Giz de Cera Longo Triangular 12 cores - Acrilex | Material Escolar;R$13,50;82;Schuster Papelaria;3%;R$0,41;https://shopee.com.br/product/390780728/17479970172;https://shope.ee/9zYufQA88a
14795582059;Morandi Marcador De Iluminador Pigmento À Base De Água Cabeça Única 8 Cor Metálica Caneta Desenho Papelaria Material Escolar;R$7,50;141;DDAYUP Store;3%;R$0,23;https://shopee.com.br/product/299316156/14795582059;https://shope.ee/A9sKrj9Und
10640992220;Caneta Esferográfica 0.7 mm Colorida Spiro Cis Papelaria Material Escolar;R$6,70;598;Papery;3%;R$0,20;https://shopee.com.br/product/507527619/10640992220;https://shope.ee/AKBl428rSg
23813208395;Caderno Material Escolar Cadernos 10 Matéria 1 Matéria Capa Dura Papelaria;R$19,99;55;ANECAM ATACADISTA;3%;R$0,60;https://shopee.com.br/product/287782803/23813208395;https://shope.ee/AUVBGL8E7j
23719515094;Cola Branca Líquida Tenaz 110g - Pritt - Material Escolar;R$13,99;71;ONLYSTORE;3%;R$0,42;https://shopee.com.br/product/431994393/23719515094;https://shope.ee/7znqHkHkCG
